Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Treatment,Treatment_simple,Treat_response,Treat_n,Control_response,Control_n,Manip_notes,Disease_specific,Disease_general,Notes,Coral,Region,,,
Cole et al. 2009,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,,,,,
Cole et al. 2009,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,NA,NA,NA,NA,NA,"Doesn't have # infected/non-infected corals. Would be an interesting one if we decide to do disease progression, though",Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Chong-Seng et al. 2011,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon trifascialis,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Cheiloprion labiatus,Pomacentridae,Cheiloprion,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon citrinellus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon klenii,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Neoglyphidodon melas,Pomacentridae,Neoglyphidodon,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Dischistodus melanotus,Pomacentridae,Dischistodus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus amboinensis,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus chrysurus,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus moluccensis,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
